Año,INSTITUCION,% Deserción,INSTITUCION_LATITUDE,INSTITUCION_LONGITUD
2014,INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO,5.362860192102454,5.71504638,-72.93608788
2014,INSTITUCION EDUCATIVA LA INDEPENDENCIA,5.592105263157895,5.65464661,-72.93558742
2014,INSTITUCION EDUCATIVA LOS LIBERTADORES,6.006864988558353,5.72447061,-72.9373046
2014,INSTITUCION EDUCATIVA MAGDALENA,5.670446964643095,5.7166989,-72.94370468
2014,INSTITUCION EDUCATIVA NUEVA GRANADA,38.72832369942196,5.723033331,-72.93440694
2014,INSTITUCION EDUCATIVA POLITECNICO ALVARO GONZALEZ SANTANA,3.2108975918268063,5.70472631,-72.94317296
2014,INSTITUCION EDUCATIVA RAFAEL GUTIERREZ GIRARDOT,6.405693950177936,5.66652829,-72.92950943
2014,INSTITUCION EDUCATIVA SILVESTRE ARENAS,5.88235294117647,5.68939014,-72.94776401
2014,INSTITUCION EDUCATIVA TECNICA BELLAS ARTES,13.73346897253306,5.71458352,-72.93943304
2014,INSTITUCION EDUCATIVA TECNICA INDUSTRIAL GUSTAVO JIMENEZ,4.424181019925701,5.75943035,-72.90539833
2014,INSTITUCION EDUCATIVA TECNICO SAN MARTIN DE TOURS,11.822660098522167,5.71634364,-72.92501073
2014,INSTITUTO DE EDUCACION FORMAL COMFABOY,3.278688524590164,5.715887661,-72.92654354
2014,INSTITUTO POLITECNICO JOSE CELESTINO MUTIS,22.31404958677686,5.716401302,-72.92742941
2014,INSTITUTO SAN MARTIN,29.411764705882355,5.714840604,-72.93236042
2014,INSTIUCION EDUCATIVA NUESTRA SEÑORA DE MORCA,7.474226804123711,5.72207519,-72.89166983
2014,JARDIN DE BARNEY,2.2988505747126435,5.714374089,-72.93328385
2014,JARDIN INFANTIL KINDER MARTICA,4.0,5.729814493,-72.91873981
2014,JARDIN INFANTIL MANITAS CREATIVAS,5.88235294117647,5.719474969,-72.93025072
2014,JARDIN INFANTIL PICARDIAS,50.0,5.724308081,-72.93804211
2014,JARDÍN INFANTIL PEDAGÓGICO,25.925925925925924,5.7238365,-72.92410187
2014,LICEO ANGLO AMERICANO,17.557251908396946,5.728058353,-72.92701841
2014,LICEO CAMPESTRE EL MUNDO QUE SOÑE S.A.S,15.0,5.716516685,-72.9311379
2014,LICEO COLOMBO ANDINO,2.903225806451613,5.720742171,-72.92927719
2014,LICEO COOPERATIVO CAMPESTRE,3.2407407407407405,5.700979918,-72.92407606
2014,LICEO GABRIELA MISTRAL,19.230769230769234,5.714955514,-72.93780224
2014,LICEO INFANTIL SAN MIGUEL ARCANGEL,50.0,5.704936945,-72.92192857
2014,LICEO LA PRESENTACION SOGAMOSO,11.056511056511056,5.719042672,-72.9395699
2014,LICEO PELDAÑOS,0.0,5.71980808,-72.92262766
2014,LICEO SAN FERNANDO,1.282051282051282,5.719814479,-72.9283044
2014,LICEO SAN NICOLAS DE TOLENTINO,8.847736625514404,5.729902583,-72.91654868
2014,LICEO SANTO ÁNGEL,10.38961038961039,5.721966093,-72.92095634
2015,CARITAS FELICES HIGH SCHOOL,0.0,5.70852068,-72.94231463
2015,CENTRO DE DESARROLLO HUMANO CEDHU,2.674897119341564,5.727487272,-72.91756557
2015,COLEGIO ACUARELA CAMPESTRE,6.474820143884892,5.730212985,-72.91795212
2015,COLEGIO ALEJANDRO DE HUMBOLDT,3.731343283582089,5.705905456,-72.93141246
2015,COLEGIO BASICO PESTALOZZI,8.045977011494253,5.708635258,-72.9300768
2015,COLEGIO CELCO,3.5532994923857872,5.72353309,-72.92434841
2015,COLEGIO CELESTIN FREINET,5.88235294117647,5.719746773,-72.92994858
2015,COLEGIO CIUDAD DEL SOL,2.9350104821802936,5.715408077,-72.93163362
2015,COLEGIO COMERCIAL ADVENTISTA DE SOGAMOSO CADES,5.527638190954774,5.721328674,-72.92831918
2015,COLEGIO COOPERATIVO REYES PATRIA,2.9115341545352744,5.727687999,-72.92028691
2015,COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO,24.0,5.715936476,-72.92788518
2015,COLEGIO ECOLOGICO DEL NORTE,13.333333333333334,5.738007866,-72.91023069
2015,COLEGIO LA RANA RENE,5.681818181818182,5.718583976,-72.9238786
2015,COLEGIO MILITAR INOCENCIO CHINCA,18.620689655172416,5.727239975,-72.92707888
2015,COLEGIO NUESTRA SEÑORA DEL ROSARIO,3.0035335689045937,5.71946,-72.9228157
2015,COLEGIO PSICOPEDAGÓGICO DE SOGAMOSO,2.857142857142857,5.723353205,-72.92149567
2015,COLEGIO SAN JOSE,8.108108108108109,5.7204461,-72.93062463
2015,COLEGIO SAN PABLO APOSTOL,3.418803418803419,5.719634768,-72.93092505
2015,COLEGIO SANTA CATALINA,4.794520547945205,5.710533981,-72.9380581
2015,COLEGIO SANTO DOMINGO,9.230769230769232,5.72284793,-72.94035325
2015,COLEGIO SUAMOX,5.825242718446602,5.721883689,-72.92163758
2015,COLEGIO UNICAB VIRTUAL,17.647058823529413,5.720373875,-72.9305891
2015,EL TALLER DE WINNIE POO,16.666666666666664,5.727116277,-72.91983898
2015,FRIEDRICH FROBEL COUNTRY SCHOOL,7.017543859649122,5.685059517,-72.9549741
2015,GIMNASIO MODERNO,15.625,5.722947772,-72.92855628
2015,INSTITUCION EDUCATIVA ANTONIO NARIÑO,9.345794392523365,5.719343915,-72.93165071
2015,INSTITUCION EDUCATIVA COLEGIO DE SUGAMUXI,5.517865219357756,5.70323136,-72.92780834
2015,INSTITUCION EDUCATIVA COLEGIO EMPRESARIAL DE BOYACA,3.571428571428571,5.716632154,-72.92435427
2015,INSTITUCION EDUCATIVA EL CRUCERO,12.256267409470752,5.61973902,-72.90691501
2015,INSTITUCION EDUCATIVA EMPRESARIAL Y AGROINDUSTRIAL LOS ANDES,30.89430894308943,5.70906344,-72.93210669
2015,INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER,17.46987951807229,5.72067174,-72.9245456
2015,INSTITUCION EDUCATIVA INTEGRADA MARCO ANTONIO QUIJANO RICO,8.609271523178808,5.66525761,-72.88858632
2015,INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO,4.473022085546548,5.71504638,-72.93608788
2015,INSTITUCION EDUCATIVA LA INDEPENDENCIA,8.996539792387544,5.65464661,-72.93558742
2015,INSTITUCION EDUCATIVA LOS LIBERTADORES,8.323207776427703,5.72447061,-72.9373046
2015,INSTITUCION EDUCATIVA MAGDALENA,6.07311320754717,5.7166989,-72.94370468
2015,INSTITUCION EDUCATIVA NUEVA GRANADA,9.30232558139535,5.723033331,-72.93440694
2015,INSTITUCION EDUCATIVA POLITECNICO ALVARO GONZALEZ SANTANA,9.04866715578381,5.70472631,-72.94317296
2015,INSTITUCION EDUCATIVA RAFAEL GUTIERREZ GIRARDOT,16.666666666666664,5.66652829,-72.92950943
2015,INSTITUCION EDUCATIVA SILVESTRE ARENAS,29.42877801879971,5.68939014,-72.94776401
2015,INSTITUCION EDUCATIVA TECNICA BELLAS ARTES,17.969821673525377,5.71458352,-72.93943304
2015,INSTITUCION EDUCATIVA TECNICA INDUSTRIAL GUSTAVO JIMENEZ,4.806098773616175,5.75943035,-72.90539833
2015,INSTITUCION EDUCATIVA TECNICO SAN MARTIN DE TOURS,9.748427672955975,5.71634364,-72.92501073
2015,INSTITUTO DE EDUCACION FORMAL COMFABOY,2.348993288590604,5.715887661,-72.92654354
2015,INSTITUTO POLITECNICO JOSE CELESTINO MUTIS,11.11111111111111,5.716401302,-72.92742941
2015,INSTITUTO SAN MARTIN,23.316062176165804,5.714840604,-72.93236042
2015,INSTIUCION EDUCATIVA NUESTRA SEÑORA DE MORCA,20.833333333333336,5.72207519,-72.89166983
2015,JARDIN DE BARNEY,2.197802197802198,5.714374089,-72.93328385
2015,JARDIN INFANTIL KINDER MARTICA,1.5384615384615385,5.729814493,-72.91873981
2015,JARDIN INFANTIL MANITAS CREATIVAS,0.0,5.719474969,-72.93025072
2015,JARDIN INFANTIL PICARDIAS,0.0,5.724308081,-72.93804211
2015,JARDIN INFANTIL RAYITO DE SOL,0.0,5.716774858,-72.91667616
2015,JARDÍN INFANTIL PEDAGÓGICO,4.545454545454546,5.7238365,-72.92410187
2015,LICEO ANGLO AMERICANO,14.893617021276595,5.728058353,-72.92701841
2015,LICEO CAMPESTRE EL MUNDO QUE SOÑE S.A.S,0.0,5.716516685,-72.9311379
2015,LICEO COLOMBO ANDINO,2.1806853582554515,5.720742171,-72.92927719
2015,LICEO COOPERATIVO CAMPESTRE,4.158004158004158,5.700979918,-72.92407606
2015,LICEO DE APRESTAMIENTO ESCOLAR INFANTIL AEI,20.689655172413794,5.742415872,-72.91472752
2015,LICEO GABRIELA MISTRAL,8.51063829787234,5.714955514,-72.93780224
2015,LICEO INFANTIL SAN MIGUEL ARCANGEL,0.0,5.704936945,-72.92192857
2015,LICEO LA PRESENTACION SOGAMOSO,2.902155887230514,5.719042672,-72.9395699
2015,LICEO PELDAÑOS,0.0,5.71980808,-72.92262766
2015,LICEO SAN FERNANDO,3.4090909090909087,5.719814479,-72.9283044
2015,LICEO SAN NICOLAS DE TOLENTINO,6.084656084656085,5.729902583,-72.91654868
2015,LICEO SANTO ÁNGEL,10.44776119402985,5.721966093,-72.92095634
2016,CARITAS FELICES HIGH SCHOOL,0.0,5.70852068,-72.94231463
2016,CENTRO DE DESARROLLO HUMANO CEDHU,3.4904013961605584,5.727487272,-72.91756557
2016,COLEGIO ACUARELA CAMPESTRE,6.134969325153374,5.730212985,-72.91795212
2016,COLEGIO ALEJANDRO DE HUMBOLDT,5.802047781569966,5.705905456,-72.93141246
2016,COLEGIO BASICO PESTALOZZI,3.3333333333333335,5.708635258,-72.9300768
2016,COLEGIO CELCO,5.974025974025974,5.72353309,-72.92434841
2016,COLEGIO CELESTIN FREINET,6.8493150684931505,5.719746773,-72.92994858
2016,COLEGIO CIUDAD DEL SOL,1.1013215859030838,5.715408077,-72.93163362
2016,COLEGIO COMERCIAL ADVENTISTA DE SOGAMOSO CADES,5.5813953488372094,5.721328674,-72.92831918
2016,COLEGIO COOPERATIVO REYES PATRIA,5.752212389380531,5.727687999,-72.92028691
2016,COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO,43.24324324324324,5.715936476,-72.92788518
2016,COLEGIO ECOLOGICO DEL NORTE,9.67741935483871,5.738007866,-72.91023069
2016,COLEGIO LA RANA RENE,6.329113924050633,5.718583976,-72.9238786
2016,COLEGIO MILITAR INOCENCIO CHINCA,34.42622950819672,5.727239975,-72.92707888
2016,COLEGIO NUESTRA SEÑORA DEL ROSARIO,4.201680672268908,5.71946,-72.9228157
2016,COLEGIO PSICOPEDAGÓGICO DE SOGAMOSO,6.578947368421052,5.723353205,-72.92149567
2016,COLEGIO SAN JOSE,6.306306306306306,5.7204461,-72.93062463
2016,COLEGIO SAN PABLO APOSTOL,3.6363636363636362,5.719634768,-72.93092505
2016,COLEGIO SANTA CATALINA,0.9433962264150944,5.710533981,-72.9380581
2016,COLEGIO SANTO DOMINGO,5.714285714285714,5.72284793,-72.94035325
2016,COLEGIO SUAMOX,4.040404040404041,5.721883689,-72.92163758
2016,COLEGIO UNICAB VIRTUAL,35.333333333333336,5.720373875,-72.9305891
2016,EL TALLER DE WINNIE POO,15.789473684210526,5.727116277,-72.91983898
2016,FRIEDRICH FROBEL COUNTRY SCHOOL,0.0,5.685059517,-72.9549741
2016,GIMNASIO MODERNO,14.893617021276595,5.722947772,-72.92855628
2016,GIMNASIO MODERNO MONTESSORI,3.7037037037037033,5.728421472,-72.92027502
2016,INSTITUCION EDUCATIVA ANTONIO NARIÑO,70.6896551724138,5.719343915,-72.93165071
2016,INSTITUCION EDUCATIVA COLEGIO DE SUGAMUXI,4.878048780487805,5.70323136,-72.92780834
2016,INSTITUCION EDUCATIVA COLEGIO EMPRESARIAL DE BOYACA,48.64864864864865,5.716632154,-72.92435427
2016,INSTITUCION EDUCATIVA EL CRUCERO,4.941860465116279,5.61973902,-72.90691501
2016,INSTITUCION EDUCATIVA EMPRESARIAL Y AGROINDUSTRIAL LOS ANDES,13.410194174757281,5.70906344,-72.93210669
